# 
# Amundsen Sea Low (ASL) Index version 3
#   (derived from monthly ERA5 Reanalysis data)
# 
# Dr J. Scott Hosking
#   British Antarctic Survey
#   Twitter: @scotthosking
# 
# For more information see:
#   Website: https://scotthosking.com/asl_index
#   GitHub:  https://github.com/scotthosking/amundsen_sea_low_index
# 
# Column Labels:
#   time       = YYYY-MM-01 (monthly data)
#   SectorPres = Area-average sea level pressure over sector (170-298 E : 60-80 S)
#   ActCenPres = Actual central pressure of ASL
#   lon        = Longitudinal location of ASL (degrees East)
#   lat        = Latitudinal location of ASL
#   RelCenPres = Relative central pressure (ActCenPres 'minus' SectorPres)
# 
# The ASL (low pressure system) detection algorithm may be improved over time. Therefore 
# it is recommended that the version number below is noted when using these data.
#   ASLi_version_id = 3.20210820-era5
# 
# 

time,lon,lat,ActCenPres,SectorPres,RelCenPres
1986-03-01,241.25,-67.5,979.76404,987.8377,-8.073669
1986-04-01,231.5,-73.5,977.8895,984.5908,-6.701294
1986-05-01,180.0,-65.75,980.13007,995.8475,-15.717407
1986-06-01,286.5,-63.5,975.64624,994.99396,-19.347717
1986-07-01,189.0,-69.0,979.0237,986.374,-7.350342
1986-08-01,280.75,-71.0,978.6396,987.3442,-8.70459
1986-09-01,255.25,-74.0,975.0168,985.0977,-10.080933
1986-10-01,215.25,-73.0,967.2887,979.09515,-11.8064575
1986-11-01,199.0,-76.0,976.1163,985.0321,-8.9158325
1986-12-01,205.25,-73.0,978.10583,983.7704,-5.664551
1987-01-01,259.25,-66.5,980.2743,988.7936,-8.519287
1987-02-01,262.0,-68.75,985.895,991.7792,-5.8841553
1987-03-01,271.25,-70.0,973.3711,986.76245,-13.391357
1987-04-01,249.75,-65.0,972.47406,981.1094,-8.635315
1987-05-01,238.5,-68.5,975.7364,981.33514,-5.598755
1987-06-01,195.0,-72.0,982.35815,989.34265,-6.984497
1987-07-01,200.0,-72.25,984.5515,994.1078,-9.556274
1987-08-01,190.0,-71.5,969.8231,983.4935,-13.67041
1987-09-01,274.25,-71.25,979.38,987.3099,-7.9298706
1987-10-01,233.25,-68.5,969.6152,976.7333,-7.118103
1987-11-01,272.0,-68.25,966.64124,977.40295,-10.761719
1987-12-01,268.5,-68.25,978.3942,983.49365,-5.0994263
1988-01-01,232.5,-69.0,986.12646,990.0444,-3.9179077
1988-02-01,263.25,-68.25,976.67084,985.27747,-8.606628
1988-03-01,276.5,-66.5,978.0559,984.4974,-6.4414673
1988-04-01,213.25,-72.0,968.61694,982.4296,-13.812683
1988-05-01,212.0,-63.75,971.3829,982.91345,-11.530579
1988-06-01,202.0,-66.0,979.51447,985.5294,-6.0149536
1988-07-01,202.75,-76.25,974.28064,984.74414,-10.463501
1988-08-01,193.75,-73.75,969.38367,988.32245,-18.938782
1988-09-01,238.5,-71.0,975.07227,982.77936,-7.7070923
1988-10-01,231.0,-69.75,980.5252,987.9134,-7.3881836
1988-11-01,225.0,-68.25,973.9104,979.11005,-5.199646
1988-12-01,195.5,-71.0,980.1633,984.6786,-4.515259
1989-01-01,258.5,-65.0,978.7367,984.722,-5.9852905
1989-02-01,253.25,-66.75,973.2505,980.01404,-6.76355
1989-03-01,193.25,-70.0,974.85876,980.8526,-5.9938354
1989-04-01,213.25,-66.75,978.68396,987.0586,-8.374634
1989-05-01,222.0,-73.25,964.9026,975.0747,-10.172119
1989-06-01,213.75,-70.0,969.68585,977.29974,-7.6138916
1989-07-01,250.0,-71.5,969.9437,980.48834,-10.544617
1989-08-01,235.75,-71.75,976.13983,986.27124,-10.131409
1989-09-01,223.0,-73.25,975.33014,984.6161,-9.28595
1989-10-01,201.5,-74.5,971.30804,978.4299,-7.121826
1989-11-01,245.25,-69.25,970.8574,977.134,-6.2765503
1989-12-01,202.75,-71.5,985.95593,989.26733,-3.3114014
1990-01-01,177.5,-63.0,984.8343,989.1251,-4.2908325
1990-02-01,231.5,-67.75,967.1029,977.4241,-10.321167
1990-03-01,208.0,-66.75,976.7235,981.1972,-4.473694
1990-04-01,197.25,-67.25,983.0014,992.35065,-9.349243
1990-05-01,171.0,-62.0,982.7394,992.80585,-10.066467
1990-06-01,255.25,-72.5,975.12775,987.1124,-11.98468
1990-07-01,254.0,-65.25,976.9592,988.8011,-11.841858
1990-08-01,220.25,-72.5,971.80164,982.43677,-10.635132
1990-09-01,213.5,-74.0,969.19366,979.37244,-10.178772
1990-10-01,280.0,-68.0,970.78815,976.9606,-6.1724243
1990-11-01,282.5,-71.25,970.2419,982.3942,-12.152344
1990-12-01,208.0,-72.25,980.0164,986.3329,-6.3164673
1991-01-01,274.5,-67.25,976.37695,983.75977,-7.3828125
1991-02-01,202.5,-71.5,982.36505,987.3094,-4.944336
1991-03-01,234.75,-72.25,976.97314,986.8209,-9.847778
1991-04-01,224.0,-72.75,980.73596,987.026,-6.290039
